EMA_20_50_CCI_11(50% Profit) EURUSD
Ticket,Open Time,Type,Size,Intrument,Open Price,Stop Loss,Take Profit,Close Time,Close Price,Commsion,Taxes,Swap,Profit,Account Balance
1,2011.03.07 08:05:00,Buy,0.3,EURUSD,1.39823,1.38823,1.69823,2011.03.08 15:20:00,1.38823,0,0,-3.1815,-303.1815,9696.818499999999
2,2011.03.09 09:15:00,Sell,0.29,EURUSD,1.38814,1.39814,1.08814,2011.03.14 17:10:00,1.39814,0,0,7.31525,-282.68475,9414.133749999999
3,2011.03.16 07:00:00,Buy,0.28,EURUSD,1.39834,1.38834,1.69834,2011.03.16 18:50:00,1.38834,0,0,0,-280,9134.133749999999
4,2011.03.18 02:15:00,Buy,0.27,EURUSD,1.40248,1.39248,1.70248,2011.07.12 08:20:00,1.39248,0,0,-326.4219000000003,-596.4219000000003,8537.71185
5,2011.07.12 22:00:00,Sell,0.25,EURUSD,1.39723,1.40723,1.09723,2011.07.13 10:20:00,1.40723,0,0,1.26125,-248.73875,8288.973099999999
6,2011.07.14 10:26:41,Buy,0.24,EURUSD,1.42277,1.41277,1.72277,2011.07.14 20:50:00,1.41277,0,0,0,-240,8048.973099999999
7,2011.07.15 01:45:00,Buy,0.24,EURUSD,1.41849,1.40849,1.71849,2011.07.18 02:16:40,1.40849,0,0,-2.5452,-242.5452,7806.4279
8,2011.07.18 16:20:00,Sell,0.23,EURUSD,1.40356,1.41356,1.10356,2011.07.19 01:20:00,1.41356,0,0,1.16035,-228.83965,7577.58825
9,2011.07.20 00:50:00,Buy,0.22,EURUSD,1.41717,1.40717,1.71717,2011.08.05 00:50:00,1.40717,0,0,-41.9958,-261.9958,7315.59245
10,2011.08.05 08:15:00,Sell,0.21,EURUSD,1.40921,1.41921,1.10921,2011.08.05 14:32:30,1.41921,0,0,0,-210,7105.59245
11,2011.08.09 18:02:30,Buy,0.21,EURUSD,1.4255,1.4155,1.7255,2011.08.11 00:10:00,1.4155,0,0,-8.908200000000001,-218.9082,6886.68425
12,2011.08.11 18:20:00,Sell,0.2,EURUSD,1.42047,1.43047,1.12047,2011.08.15 02:20:00,1.43047,0,0,2.018,-197.982,6688.70225
13,2011.08.15 13:45:00,Buy,0.2,EURUSD,1.43084,1.42084,1.73084,2011.09.02 14:50:00,1.42084,0,0,-42.41999999999999,-242.42,6446.28225
14,2011.09.06 13:10:00,Sell,0.19,EURUSD,1.40952,1.41952,1.10952,2011.10.27 18:15:00,1.41952,0,0,50.80315000000002,-139.19685,6307.0854
15,2011.10.28 08:00:00,Buy,0.18,EURUSD,1.41853,1.40853,1.71853,2011.10.31 03:50:00,1.40853,0,0,-1.9089,-181.9089,6125.1765
16,2011.11.01 21:50:00,Sell,0.18,EURUSD,1.36763,1.37763,1.06763,2011.11.02 10:15:00,1.37763,0,0,0.9080999999999999,-179.0919,5946.084599999999
17,2011.11.07 14:15:00,Sell,0.17,EURUSD,1.37389,1.38389,1.07389,2011.11.08 16:07:30,1.38389,0,0,0.85765,-169.14235,5776.942249999999
18,2011.11.10 07:15:00,Sell,0.17,EURUSD,1.35336,1.36336,1.05336,2011.11.10 13:50:00,1.36336,0,0,0,-170,5606.942249999999
19,2011.11.10 16:32:30,Sell,0.16,EURUSD,1.35537,1.36537,1.05537,2011.11.11 09:20:00,1.36537,0,0,0.8072,-159.1928,5447.749449999999
20,2011.11.11 12:02:30,Sell,0.16,EURUSD,1.36182,1.37182,1.06182,2011.11.11 16:40:00,1.37182,0,0,0,-160,5287.749449999999
21,2011.11.14 08:20:00,Buy,0.15,EURUSD,1.37745,1.36745,1.67745,2011.11.14 12:15:00,1.36745,0,0,0,-150,5137.749449999999
22,2011.11.15 02:20:00,Sell,0.15,EURUSD,1.36197,1.37197,1.06197,2013.10.22 14:40:00,1.37197,0,0,535.0222500000021,385.0222500000021,5522.771700000001
23,2013.10.23 15:40:00,Buy,0.16,EURUSD,1.37791,1.36791,1.67791,2013.10.31 11:10:00,1.36791,0,0,-16.968,-176.968,5345.803700000001
24,2013.11.04 04:03:20,Sell,0.16,EURUSD,1.34777,1.35777,1.04777,2013.11.20 00:20:00,1.35777,0,0,12.9152,-147.0848,5198.718900000002
25,2013.11.20 15:37:30,Buy,0.15,EURUSD,1.35474,1.34474,1.65474,2013.11.20 17:20:00,1.34474,0,0,0,-150,5048.718900000002
26,2013.11.25 21:00:00,Buy,0.15,EURUSD,1.35167,1.34167,1.65167,2014.07.29 14:50:00,1.34167,0,0,-391.3245000000013,-541.3245000000013,4507.3944
27,2014.07.30 05:45:00,Sell,0.13,EURUSD,1.34091,1.35091,1.04091,2016.12.15 14:02:30,1.04091,0,0,571.2453499999953,4471.245349999996,8978.639749999995
28,2016.12.16 02:10:00,Sell,0.26,EURUSD,1.04127,1.05127,0.74127,2016.12.30 01:20:00,1.05127,0,0,18.3638,-241.6362,8737.003549999994
29,2016.12.30 11:10:00,Buy,0.26,EURUSD,1.05395,1.04395,1.35395,2017.01.03 10:20:00,1.04395,0,0,-5.514600000000001,-265.5146,8471.488949999994
30,2017.01.03 21:37:30,Sell,0.25,EURUSD,1.0405,1.0505,0.7405,2017.01.05 02:10:00,1.0505,0,0,5.045,-244.955,8226.533949999994
31,2017.01.05 15:50:00,Buy,0.24,EURUSD,1.05431,1.04431,1.35431,2018.07.24 23:59:59,1.16852,0,0,-1432.947600000006,1308.092399999994,9534.626349999988
